,T,y0,network_architectures,activations,learning_rates,collocations,epochs,reg_epochs,reg_coeff,reg_decay,mean_loss,loss_successes_percent
0,10,25,"(4, 50)",tanh,0.001,1024,50000,0.0,1,1,0.0051065185,0.95
0,10,25,"(4, 50)",tanh,0.001,1024,50000,0.25,1,1,0.0019201866,1.0
0,10,25,"(4, 50)",tanh,0.001,1024,50000,0.5,1,1,0.0009073197,1.0
0,10,25,"(4, 50)",tanh,0.001,1024,50000,0.75,1,1,0.0003379736,1.0
0,10,25,"(4, 50)",tanh,0.001,1024,50000,1.0,1,1,0.001925637,1.0
0,10,100,"(4, 50)",tanh,0.001,1024,50000,0.0,1,1,0.003007252,0.95
0,10,100,"(4, 50)",tanh,0.001,1024,50000,0.25,1,1,0.0005144012,1.0
0,10,100,"(4, 50)",tanh,0.001,1024,50000,0.5,1,1,0.0018486353,1.0
0,10,100,"(4, 50)",tanh,0.001,1024,50000,0.75,1,1,0.002288585,1.0
0,10,100,"(4, 50)",tanh,0.001,1024,50000,1.0,1,1,0.0025783612,1.0
0,10,175,"(4, 50)",tanh,0.001,1024,50000,0.0,1,1,0.005338566,0.95
0,10,175,"(4, 50)",tanh,0.001,1024,50000,0.25,1,1,0.0015018949,1.0
0,10,175,"(4, 50)",tanh,0.001,1024,50000,0.5,1,1,0.00078157755,1.0
0,10,175,"(4, 50)",tanh,0.001,1024,50000,0.75,1,1,0.006842775,0.95
0,10,175,"(4, 50)",tanh,0.001,1024,50000,1.0,1,1,0.0014113246,1.0
0,15,25,"(4, 50)",tanh,0.001,1024,50000,0.0,1,1,1.3119313,0.1
0,15,25,"(4, 50)",tanh,0.001,1024,50000,0.25,1,1,1.131648,0.2
0,15,25,"(4, 50)",tanh,0.001,1024,50000,0.5,1,1,0.4175156,0.75
0,15,25,"(4, 50)",tanh,0.001,1024,50000,0.75,1,1,0.007074988,1.0
0,15,25,"(4, 50)",tanh,0.001,1024,50000,1.0,1,1,0.0093618985,0.95
0,15,100,"(4, 50)",tanh,0.001,1024,50000,0.0,1,1,1.4565597,0.05
0,15,100,"(4, 50)",tanh,0.001,1024,50000,0.25,1,1,1.3076279,0.15
0,15,100,"(4, 50)",tanh,0.001,1024,50000,0.5,1,1,0.4039503,0.65
0,15,100,"(4, 50)",tanh,0.001,1024,50000,0.75,1,1,0.008571202,1.0
0,15,100,"(4, 50)",tanh,0.001,1024,50000,1.0,1,1,0.010057323,0.95
0,15,175,"(4, 50)",tanh,0.001,1024,50000,0.0,1,1,1.2927024,0.1
0,15,175,"(4, 50)",tanh,0.001,1024,50000,0.25,1,1,1.4728087,0.05
0,15,175,"(4, 50)",tanh,0.001,1024,50000,0.5,1,1,0.17209023,0.85
0,15,175,"(4, 50)",tanh,0.001,1024,50000,0.75,1,1,0.008485809,1.0
0,15,175,"(4, 50)",tanh,0.001,1024,50000,1.0,1,1,0.008677057,1.0
0,20,25,"(4, 50)",tanh,0.001,1024,50000,0.0,1,1,1.5129535,0.0
0,20,25,"(4, 50)",tanh,0.001,1024,50000,0.25,1,1,1.5254272,0.0
0,20,25,"(4, 50)",tanh,0.001,1024,50000,0.5,1,1,1.5315447,0.0
0,20,25,"(4, 50)",tanh,0.001,1024,50000,0.75,1,1,1.5411968,0.0
0,20,25,"(4, 50)",tanh,0.001,1024,50000,1.0,1,1,1.3666174,0.0
0,20,100,"(4, 50)",tanh,0.001,1024,50000,0.0,1,1,1.975455,0.0
0,20,100,"(4, 50)",tanh,0.001,1024,50000,0.25,1,1,1.5204889,0.0
0,20,100,"(4, 50)",tanh,0.001,1024,50000,0.5,1,1,1.5342137,0.0
0,20,100,"(4, 50)",tanh,0.001,1024,50000,0.75,1,1,1.539731,0.0
0,20,100,"(4, 50)",tanh,0.001,1024,50000,1.0,1,1,1.3886821,0.0
0,20,175,"(4, 50)",tanh,0.001,1024,50000,0.0,1,1,1.5147614,0.0
0,20,175,"(4, 50)",tanh,0.001,1024,50000,0.25,1,1,1.5173934,0.0
0,20,175,"(4, 50)",tanh,0.001,1024,50000,0.5,1,1,1.5291255,0.0
0,20,175,"(4, 50)",tanh,0.001,1024,50000,0.75,1,1,1.5430439,0.0
0,20,175,"(4, 50)",tanh,0.001,1024,50000,1.0,1,1,1.2950575,0.0
