,T,network_architectures,activations,learning_rates,collocations,epochs,reg_coeff,reg_decay,mean_loss,loss_successes_percent
0,7.5,"(4, 50)",tanh,0.001,1024,20000,0.0,0.9996,0.74674636,0.0
0,7.5,"(4, 50)",tanh,0.001,1024,20000,1.0,0.9996,0.71443635,0.2
0,7.5,"(4, 50)",tanh,0.001,1024,20000,10.0,0.9996,0.6512038,0.55
0,7.5,"(8, 100)",tanh,0.001,1024,20000,0.0,0.9996,0.7943318,0.05
0,7.5,"(8, 100)",tanh,0.001,1024,20000,1.0,0.9996,0.9811033,0.05
0,7.5,"(8, 100)",tanh,0.001,1024,20000,10.0,0.9996,0.46120387,0.65
0,10.0,"(4, 50)",tanh,0.001,1024,20000,0.0,0.9996,0.80823106,0.0
0,10.0,"(4, 50)",tanh,0.001,1024,20000,1.0,0.9996,1.0115057,0.15
0,10.0,"(4, 50)",tanh,0.001,1024,20000,10.0,0.9996,0.54997456,0.7
0,10.0,"(8, 100)",tanh,0.001,1024,20000,0.0,0.9996,0.69654787,0.15
0,10.0,"(8, 100)",tanh,0.001,1024,20000,1.0,0.9996,0.6366588,0.25
0,10.0,"(8, 100)",tanh,0.001,1024,20000,10.0,0.9996,0.8675561,0.5
